"potentialBenefits","recommendationTypeId","learnMoreLink.Name","learnMoreLink.Url","publishedToAdvisor","aprlGuid","automationAvailable","description","publishedToLearn","recommendationControl","recommendationResourceType","longDescription","recommendationImpact","tags","pgVerified","recommendationMetadataState","automationAvailableReal"
"Prevents undelivered messages",,"Learn More","https://learn.microsoft.com/en-us/azure/iot-hub/iot-hub-devguide-messages-d2c#fallback-route","False","e7dbd21f-b27a-4b8c-a901-cedb1e6d8e1e","arg","Disabled Fallback Route","False","Monitoring and Alerting","Microsoft.Devices/IotHubs","Using message routing for custom endpoints in IoT Hub, messages might not reach these destinations if specific conditions are unmet. A default route ensures all messages are received, but disabling this safety net risks leaving some messages undelivered.
","Low",,"Preview","Active","arg"
"Enhances SLA & resilience",,"Learn More","https://learn.microsoft.com/en-us/azure/cosmos-db/distribute-data-globally","False","43663217-a1d3-844b-80ea-571a2ce37c6c","arg","Configure at least two regions for high availability","False","High Availability","Microsoft.DocumentDB/databaseAccounts","Azure leverages a multi-tier isolation approach (rack, DC, zone, region) for Cosmos DB's default resilience with four replicas.
","High",,"Verified","Active","arg"
"Auto failover for high uptime",,"Learn More","https://learn.microsoft.com/en-us/azure/cosmos-db/how-to-manage-database-account#automatic-failover","False","9cabded7-a1fc-6e4a-944b-d7dd98ea31a2","arg","Enable service-managed failover for multi-region accounts with single write region","False","Disaster Recovery","Microsoft.DocumentDB/databaseAccounts","Cosmos DB boasts high uptime and resiliency. Even so, issues may arise. With Service-Managed failover, if a region is down, Cosmos DB automatically switches to the next available region, requiring no user action.
","High",,"Verified","Active","arg"
"Enhances high availability",,"Learn More","https://learn.microsoft.com/en-us/azure/cosmos-db/distribute-data-globally","False","9ce78192-74a0-104c-b5bb-9a443f941649","arg","Evaluate multi-region write capability","False","Disaster Recovery","Microsoft.DocumentDB/databaseAccounts","Multi-region write capability allows for designing applications that are highly available across multiple regions, though it demands careful attention to consistency requirements and conflict resolution. Improper setup may decrease availability and cause data corruption due to unhandled conflicts.
","High",,"Verified","Active","arg"
"Enhances data durability & recovery",,"Learn More","https://learn.microsoft.com/en-us/azure/cosmos-db/consistency-levels","False","23ebe97d-c546-204b-8b0d-00e61a5524f7","no","Choose appropriate consistency mode reflecting data durability requirements","False","Disaster Recovery","Microsoft.DocumentDB/databaseAccounts","In a globally distributed database, consistency level impacts data durability in region-wide outages. For business continuity, gauge data loss tolerance post-disruption.
","High",,"Preview","Active","none"
"Faster self-serve data restore",,"Learn More","https://learn.microsoft.com/en-us/azure/cosmos-db/continuous-backup-restore-introduction","False","e544520b-8505-7841-9e77-1f1974ee86ec","arg","Configure continuous backup mode","False","Disaster Recovery","Microsoft.DocumentDB/databaseAccounts","Cosmos DB's backup is always on, offering protection against data mishaps. Continuous mode allows for self-serve restoration to a pre-mishap point, unlike periodic mode which requires contacting Microsoft support, leading to longer restore times.
","High",,"Verified","Active","arg"
"Maximizes data retrieval efficiency",,"Learn More","https://learn.microsoft.com/en-us/azure/cosmos-db/nosql/query/pagination#handling-multiple-pages-of-results","False","c006604a-0d29-684c-99f0-9729cb40dac5","no","Ensure query results are fully drained","False","Scalability","Microsoft.DocumentDB/databaseAccounts","Cosmos DB has a 4 MB response limit, leading to paginated results for large or partition-spanning queries. Each page shows availability and provides a continuation token for the next. A while loop in code is necessary to traverse all pages until completion.
","High",,"Verified","Active","none"
"Reduces costs & prevents connectivity issues",,"Learn More","https://learn.microsoft.com/en-us/azure/cosmos-db/nosql/conceptual-resilient-sdk-applications","False","7eb32cf9-9a42-1540-acf8-597cbba8a418","no","Maintain singleton pattern in your client","False","Scalability","Microsoft.DocumentDB/databaseAccounts","Establishing and maintaining database connections is costly. Using a single instance of the SDK client for each account and application is crucial as connections are tied to the client. Compute environments have a limit on open connections, affecting connectivity when exceeded.
","Medium",,"Verified","Active","none"
"Enhances error handling resilience",,"Learn More","https://learn.microsoft.com/en-us/azure/cosmos-db/nosql/conceptual-resilient-sdk-applications","False","fa6ac22f-0584-bb4b-80e4-80f4755d1a97","no","Implement retry logic in your client","False","High Availability","Microsoft.DocumentDB/databaseAccounts","Cosmos DB SDKs automatically manage many transient errors through retries. Despite this, it's crucial for applications to implement additional retry policies targeting specific cases that the SDKs can't generically address, ensuring more robust error handling.
","Medium",,"Verified","Active","none"
"Proactive issue management",,"Learn More","https://learn.microsoft.com/en-us/azure/cosmos-db/create-alerts","False","deaea200-013c-414b-ac9f-bfa7a7fb13f0","no","Monitor Cosmos DB health and set up alerts","False","Monitoring and Alerting","Microsoft.DocumentDB/databaseAccounts","Monitoring the availability and responsiveness of Azure Cosmos DB resources and having alerts set up for your workload is a good practice. This ensures you stay proactive in handling unforeseen events.
","Medium",,"Verified","Active","none"
"Enhanced troubleshooting for Event Grid",,"Learn More","https://learn.microsoft.com/en-us/azure/event-grid/enable-diagnostic-logs-topic","False","54c3191b-b535-1946-bba9-b754f44060f6","no","Configure Diagnostic Settings for all Azure Event Grid resources","False","Monitoring and Alerting","Microsoft.EventGrid/topics","Enabling diagnostic settings on Azure Event Grid resources like custom topics, system topics, and domains lets you capture and view diagnostic information to troubleshoot failures effectively.
","Low",,"Preview","Active","none"
"Saves undelivered events",,"Learn More","https://learn.microsoft.com/en-us/azure/event-grid/delivery-and-retry#dead-letter-events","False","92162eb5-4323-3145-8a6c-525ce2f0700e","no","Configure Dead-letter to save events that cannot be delivered","False","Automation","Microsoft.EventGrid/topics","Event Grid may not deliver an event within a specific time or after several attempts, leading to dead-lettering where undelivered events are sent to a storage account.
","Low",,"Preview","Active","none"
"Secure, private VNet ingress",,"Learn More","https://learn.microsoft.com/en-us/azure/event-grid/configure-private-endpoints","False","b2069f64-4741-3d4a-a71d-50c8b03f5ab7","arg","Configure Private Endpoints","False","Security","Microsoft.EventGrid/topics","Use private endpoints for secure event ingress to custom topics/domains via a private link, avoiding the public internet. It employs an IP from the VNet space for your topic/domain.
","Low",,"Preview","Active","arg"
"Enhanced fault tolerance for Event Hub",,"Learn More","https://learn.microsoft.com/azure/event-hubs/event-hubs-geo-dr?tabs=portal#availability-zones","False","84636c6c-b317-4722-b603-7b1ffc16384b","arg","Enable zone redundancy for Event Hub namespace","False","High Availability","Microsoft.EventHub/namespaces","Event Hubs leverages Availability Zones to offer fault-isolated locations within an Azure region, ensuring support in regions with availability zones. It ensures both metadata and events are replicated across data centers within the availability zone.
","High",,"Preview","Active","arg"
"Prevents throttling by autoscaling TUs",,"Learn More","https://learn.microsoft.com/azure/event-hubs/event-hubs-auto-inflate","False","fbfef3df-04a5-41b2-a8fd-b8541eb04956","arg","Enable auto-inflate on Event Hub Standard tier","False","Scalability","Microsoft.EventHub/namespaces","Enable auto-inflate on Event Hub Standard tier namespaces to automatically scale up TUs, meeting usage needs and preventing data ingress or egress throttle scenarios by adjusting to allowed rates.
","High",,"Preview","Active","arg"
"Stay informed on resource status",,"Learn More","https://learn.microsoft.com/en-us/azure/service-health/resource-health-overview","False","be448849-0d7d-49ba-9c94-9573ee533d5d","no","Configure Resource Health Alerts","False","Monitoring and Alerting","microsoft.insights/activityLogAlerts","Configure Resource Health Alerts for all applicable resources to stay informed about the current and historical health status of your Azure resources. They notify you when these resources have a change in their health status.
","Low",,"Verified","Active","none"
"Proactive outage & maintenance alerts",,"Learn More","https://learn.microsoft.com/azure/service-health/overview","False","9729c89d-8118-41b4-a39b-e12468fa872b","arg","Configure Service Health Alerts","False","Monitoring and Alerting","microsoft.insights/activityLogAlerts","Service health gives a personalized health view of Azure services and regions used, offering the best place for notifications on outages, planned maintenance, and health advisories by knowing the services used.
","High",,"Verified","Active","arg"
"Avoid service disruption post-Feb 2024",,"Learn More","https://learn.microsoft.com/en-us/azure/azure-monitor/app/convert-classic-resource","False","dac421ec-2832-4c37-839e-b6dc5a38f2fa","arg","Convert Classic Deployments","False","Service Upgrade And Retirement","Microsoft.Insights/components","Classic Application Insights retires in February 2024. To minimize disruption to existing application monitoring scenarios, transition to workspace-based Application Insights before 29 February 2024.
","Medium",,"Preview","Active","arg"
"Enables recovery of deleted items",,"Learn More","https://learn.microsoft.com/azure/key-vault/general/soft-delete-overview","False","1cca00d2-d9ab-8e42-a788-5d40f49405cb","arg","Key vaults should have soft delete enabled","False","Disaster Recovery","Microsoft.KeyVault/vaults","Key Vault's soft-delete feature enables recovery of deleted vaults and objects like keys, secrets, and certificates. When enabled, marked resources are retained for 90 days, allowing for their recovery, essentially undoing deletion.
","High",,"Preview","Active","arg"
"Protects from insider attacks, avoids data loss",,"Learn More","https://learn.microsoft.com/azure/key-vault/general/soft-delete-overview#purge-protection","False","70fcfe6d-00e9-5544-a63a-fff42b9f2edb","arg","Key vaults should have purge protection enabled","False","Disaster Recovery","Microsoft.KeyVault/vaults","Purge protection secures against malicious deletions by enforcing a retention period for soft deleted key vaults, ensuring no one, not even insiders or Microsoft, can purge your key vaults during this period, preventing permanent data loss.
","High",,"Preview","Active","arg"
"Secure Key Vault with Private Link",,"Learn More","https://learn.microsoft.com/azure/key-vault/general/security-features#network-security","False","00c3d2b0-ea6e-4c4b-89be-b78a35caeb51","arg","Enable Azure Private Link Service for Key vault","False","Security","Microsoft.KeyVault/vaults","Azure Private Link Service lets you securely and privately connect to Azure Key Vault via a Private Endpoint in your VNet, using a private IP and eliminating public Internet exposure.
","High",,"Preview","Active","arg"
"Enhanced security, Reduced risk",,"Learn More","https://learn.microsoft.com/azure/key-vault/general/best-practices#why-we-recommend-separate-key-vaults","False","e7091145-3642-bd41-bb58-66502e64d2cd","no","Use separate key vaults per application per environment","False","Governance","Microsoft.KeyVault/vaults","Key vaults are security boundaries for secret storage. Grouping secrets together increases risk during a security event, as attacks could access multiple secrets.
","High",,"Preview","Active","none"
"Enhanced monitoring & security compliance",,"Learn More","https://learn.microsoft.com/azure/key-vault/general/logging?tabs=Vault","False","1dc0821d-4f14-7644-bab4-ba208ff5f7fa","arg","Diagnostic logs in Key Vault should be enabled","False","Monitoring and Alerting","Microsoft.KeyVault/vaults","Enable logs, set up alerts, and adhere to retention requirements for improved monitoring and security of Key Vault access, detailing the frequency and identity of users.
","Low",,"Preview","Active","arg"
"Enhanced security, compliance, and management",,"Learn More","https://learn.microsoft.com/en-us/azure/cloud-adoption-framework/ready/landing-zone/design-area/resource-org-management-groups#management-group-recommendations","False","5ada5ffa-7149-4e49-9fbf-e67be7c2594c","arg","Subscriptions should not be placed under the Tenant Root Management Group","False","Governance","Microsoft.Resources/resourceGroups","The root management group in Azure is designed for organizational hierarchy, allowing for all management groups and subscriptions to fold into it. 
","Medium",,"Verified","Active","arg"
"Optimized performance & cost efficiency",,"Learn More","https://learn.microsoft.com/azure/azure-netapp-files/azure-netapp-files-service-levels","False","af426a99-62a6-6b4c-9662-42d220b413b8","no","Use the correct service level and volume quota size for the expected performance level","False","Scalability","Microsoft.NetApp/netAppAccounts","Service levels, part of capacity pool attributes, determine the maximum throughput per volume quota in Azure NetApp Files. It combines read and write speed, offering three levels: Standard (16 MiB/s per 1TiB), Premium (64 MiB/s per 1TiB), and Ultra (128 MiB/s per 1TiB) throughput.
","Medium",,"Verified","Active","none"
"Enhanced connectivity & security",,"Learn More","https://learn.microsoft.com/azure/azure-netapp-files/azure-netapp-files-network-topologies","False","ab984130-c57b-6c4a-8d04-6723b4e1bdb6","arg","Use standard network features for production in Azure NetApp Files","False","Governance","Microsoft.NetApp/netAppAccounts","Standard network feature in Azure NetApp Files enhances IP limits and VNet capabilities, including network security groups, user-defined routes on subnets, and diverse connectivity options.
","High",,"Verified","Active","arg"
"Enhances disaster recovery",,"Learn More","https://learn.microsoft.com/azure/azure-netapp-files/use-availability-zones","False","47d100a5-7f85-5742-967a-67eb5081240a","arg","Use availability zones for high availability in Azure NetApp Files","False","High Availability","Microsoft.NetApp/netAppAccounts","Azure availability zones are distinct locations within each Azure region designed to withstand local failures through redundancy and logical isolation, improving service resiliency with at least three zones in enabled regions.
","High",,"Verified","Active","arg"
"Stable, scalable, swift recovery, no perf impact",,"Learn More","https://learn.microsoft.com/azure/azure-netapp-files/snapshots-introduction","False","72827434-c773-4345-9493-34848ddf5803","arg","Use snapshots for data protection in Azure NetApp Files","False","High Availability","Microsoft.NetApp/netAppAccounts","Azure NetApp Files snapshot technology ensures stability, scalability, and swift data recoverability without affecting performance. It supports automatic snapshot creation via policies for Azure NetApp Files data.
","High",,"Verified","Active","arg"
"Enhances data recovery & compliance",,"Learn More","https://learn.microsoft.com/azure/azure-netapp-files/backup-introduction","False","b2fb3e60-97ec-e34d-af29-b16a0d61c2ac","arg","Enable backup for data protection in Azure NetApp Files","False","Disaster Recovery","Microsoft.NetApp/netAppAccounts","Azure NetApp Files offers a fully managed backup solution enhancing long-term recovery, archiving, and compliance.
","High",,"Verified","Active","arg"
"Enhanced data protection & disaster recovery",,"Learn More","https://learn.microsoft.com/azure/azure-netapp-files/cross-region-replication-introduction","False","b2fb3e60-97ec-e34d-af29-b16a0d61c2ac","arg","Enable Cross-region replication of Azure NetApp Files volumes","False","Disaster Recovery","Microsoft.NetApp/netAppAccounts","Azure NetApp Files replication offers data protection by allowing asynchronous cross-region volume replication for application failover in case of regional outages. Volumes can be replicated across regions, not concurrently with cross-zone replication.
","High",,"Verified","Active","arg"
"Enhances disaster recovery",,"Learn More","https://learn.microsoft.com/azure/azure-netapp-files/cross-zone-replication-introduction","False","e3d742e1-dacd-9b48-b6b1-510ec9f87c96","arg","Enable Cross-zone replication of Azure NetApp Files volumes","False","High Availability","Microsoft.NetApp/netAppAccounts","The cross-zone replication (CZR) feature enables asynchronous data replication between Azure NetApp Files volumes across different availability zones, ensuring data protection and critical application failover in case of zone-wide disasters.
","High",,"Verified","Active","arg"
"Optimize usage & performance",,"Learn More","https://learn.microsoft.com/azure/azure-netapp-files/monitor-azure-netapp-files","False","2f579fc9-e599-0d44-8b97-254f50ae04d8","no","Monitor Azure NetApp Files metrics to better understand usage pattern and performance","False","Monitoring and Alerting","Microsoft.NetApp/netAppAccounts","Azure NetApp Files offers metrics like allocated storage, actual usage, volume IOPS, and latency, enabling a better understanding of usage patterns and volume performance for NetApp accounts.
","Medium",,"Verified","Active","none"
"Enforce standards & assess compliance",,"Learn More","https://learn.microsoft.com/azure/azure-netapp-files/azure-policy-definitions","False","687ae58f-517f-ca43-90fe-922497e61283","no","Enforce standards and assess compliance in Azure NetApp Files with Azure policy","False","Governance","Microsoft.NetApp/netAppAccounts","Azure NetApp Files supports Azure policy integration using either built-in policy definitions or by creating custom ones to maintain organizational standards and compliance.
","Medium",,"Verified","Active","none"
"Enhanced security, Reduced data breach risk",,"Learn More","https://learn.microsoft.com/azure/azure-netapp-files/configure-network-features","False","cfa2244b-5436-47de-8287-b217875d3b0a","no","Restrict default access to Azure NetApp Files volumes","False","Security","Microsoft.NetApp/netAppAccounts","Access to the delegated subnet should be limited to specific Azure Virtual Networks. SMB-enabled volumes' share permissions should move away from 'Everyone/Full control'. NFS-enabled volumes' access needs to be controlled via export policies and/or NFSv4.1 ACLs.
","Medium",,"Verified","Active","none"
"Zero downtime for SMB apps",,"Learn More","https://learn.microsoft.com/azure/azure-netapp-files/faq-application-resilience#do-i-need-to-take-special-precautions-for-smb-based-applications","False","d1e7ccc3-e6c1-40e9-a36e-fd134711c808","no","Make use of SMB continuous availability for supported applications","False","High Availability","Microsoft.NetApp/netAppAccounts","Certain SMB applications need SMB Transparent Failover for maintenance without interrupting server connectivity. Azure NetApp Files provides this through SMB Continuous Availability for applications like Citrix App Layering, FSLogix user/profile containers, Microsoft SQL Server, MSIX app attach.
","Medium",,"Verified","Active","none"
"Minimizes downtime during maintenance",,"Learn More","https://learn.microsoft.com/azure/azure-netapp-files/faq-application-resilience#what-do-you-recommend-for-handling-potential-application-disruptions-due-to-storage-service-maintenance-events","False","60f36f9b-fac9-4160-bbf5-57af04da4f53","no","Ensure application resilience for service maintenance events","False","High Availability","Microsoft.NetApp/netAppAccounts","Azure NetApp Files might undergo occasional planned maintenance such as platform updates or service and software upgrades. It's important to be aware of the application's resiliency settings to cope with these storage service maintenance events.
","Medium",,"Verified","Active","none"
"Enhances uptime & enables autoscaling",,"Learn More","https://learn.microsoft.com/azure/application-gateway/application-gateway-autoscaling-zone-redundant#autoscaling-and-high-availability","False","823b0cff-05c0-2e4e-a1e7-9965e1cfa16f","arg","Set a minimum instance count of 2","False","Scalability","Microsoft.Network/applicationGateways","Azure Application Gateways v2 are deployed highly available with multiple instances by default.
","High",,"Preview","Active","arg"
"Enhanced security & privacy",,"Learn More","https://learn.microsoft.com/azure/well-architected/services/networking/azure-application-gateway#security","False","233a7008-71e9-e745-923e-1a1c7a0b92f3","arg","Secure all incoming connections with SSL","False","Security","Microsoft.Network/applicationGateways","Secure all incoming connections using HTTPS for production services with end-to-end SSL/TLS or SSL/TLS termination at the Application Gateway to protect against attacks and ensure data remains private and encrypted between the web server and browsers.
","High",,"Preview","Active","arg"
"Enhanced security for HTTP/S traffic",,"Learn More","https://learn.microsoft.com/azure/well-architected/services/networking/azure-application-gateway","False","8d9223c4-730d-ca47-af88-a9a024c37270","arg","Enable Web Application Firewall policies","False","Security","Microsoft.Network/applicationGateways","Use Application Gateway with Web Application Firewall (WAF) in an application virtual network to safeguard inbound HTTP/S internet traffic. WAF offers centralized defense against potential exploits through OWASP core rule sets-based rules.
","High",,"Preview","Active","arg"
"Better performance, autoscaling, more features",,"Learn More","https://learn.microsoft.com/azure/application-gateway/overview-v2","False","7893f0b3-8622-1d47-beed-4b50a19f7895","arg","Use Application GW V2 instead of V1","False","Scalability","Microsoft.Network/applicationGateways","Use Application Gateway v2 for built-in features like autoscaling, static VIPs, Azure KeyVault integration for better traffic management and performance, unless v1 is necessary.
","High",,"Preview","Active","arg"
"Enhanced traffic insight & audit",,"Learn More","https://learn.microsoft.com/azure/application-gateway/application-gateway-metrics","False","5d035919-898d-a047-8d5d-454e199692e5","no","Monitor and Log the configurations and traffic","False","Monitoring and Alerting","Microsoft.Network/applicationGateways","Enable logging in storage accounts, Log Analytics, and monitoring services for auditing and insights. If using NSGs, enable NSG flow logs to be stored, providing in-depth traffic analysis into Azure Cloud.
","Medium",,"Preview","Active","none"
"Ensures backend uptime monitoring.",,"Learn More","https://learn.microsoft.com/azure/application-gateway/application-gateway-probe-overview","False","847a8d88-21c4-bc48-a94e-562206edd767","arg","Use Health Probes to detect backend availability","False","Monitoring and Alerting","Microsoft.Network/applicationGateways","Using custom health probes enhances understanding of backend availability and facilitates monitoring of backend services for any impact.
","Medium",,"Preview","Active","arg"
"Enhanced uptime & customer access",,"Learn More","https://learn.microsoft.com/azure/well-architected/services/networking/azure-application-gateway#reliability","False","c9c00f2a-3888-714b-a72b-b4c9e8fcffb2","arg","Deploy Application Gateway in a zone-redundant configuration","False","High Availability","Microsoft.Network/applicationGateways","Deploying Application Gateway in a zone-aware configuration ensures continued customer access to services even if a specific zone goes down, as services in other zones remain available.
","High",,"Preview","Active","arg"
"Smooth updates, no dropped users",,"Learn More","https://learn.microsoft.com/azure/application-gateway/features#connection-draining","False","10f02bc6-e2e7-004d-a2c2-f9bf9f16b915","arg","Plan for backend maintenance by using connection draining","False","High Availability","Microsoft.Network/applicationGateways","Using connection draining for backend maintenance ensures graceful removal of backend pool members during updates or health issues. It's enabled via Backend Setting and applies to all members during rule creation.
","Medium",,"Preview","Active","arg"
"Allows autoscaling and maintenance",,"Learn More","https://learn.microsoft.com/en-us/azure/application-gateway/configuration-infrastructure#size-of-the-subnet","False","8364fd0a-7c0e-e240-9d95-4bf965aec243","arg","Ensure Application Gateway Subnet is using a /24 subnet mask","False","Other Best Practices","Microsoft.Network/applicationGateways","Application Gateway v2 (Standard_v2 or WAF_v2 SKU) can support up to 125 instances. A /24 subnet isn't mandatory for deployment but is advised to provide enough space for autoscaling and maintenance upgrades.
","High",,"Preview","Active","arg"
"Enhanced SLA and reliability",,"Learn More","https://learn.microsoft.com/azure/architecture/framework/services/networking/azure-firewall","False","c72b7fee-1fa0-5b4b-98e5-54bcae95bb74","arg","Deploy Azure Firewall across multiple availability zones","False","High Availability","Microsoft.Network/azureFirewalls","Azure Firewall offers different SLAs depending on its deployment; in a single availability zone or across multiple, potentially improving reliability and performance.
","High",,"Verified","Active","arg"
"Improve health & performance monitoring",,"Learn More","https://learn.microsoft.com/azure/azure-monitor/essentials/metrics-supported#microsoftnetworkazurefirewalls","False","3c8fa7c6-6b78-a24a-a63f-348a7c71acb9","arg","Monitor Azure Firewall metrics","False","Monitoring and Alerting","Microsoft.Network/azureFirewalls","Monitor Azure Firewall for overall health, processed throughput, and outbound SNAT port usage. Get alerted before limits impact services. Consider NAT gateway integration with zonal deployments; note limitations with zone redundant firewalls and secure virtual hub networks.
","Medium",,"Verified","Active","arg"
"Enhanced DDoS attack defense",,"Learn More","https://learn.microsoft.com/azure/ddos-protection/ddos-protection-overview","False","1b2dbf4a-8a0b-5e4b-8f4e-3f758188910d","arg","Configure DDoS Protection on the Azure Firewall VNet","False","Security","Microsoft.Network/azureFirewalls","Associate a DDoS protection plan with the virtual network hosting Azure Firewall to provide enhanced mitigation against DDoS attacks. Azure Firewall Manager integrates the creation of firewall infrastructure and DDoS protection plans.
","High",,"Verified","Active","arg"
"Enhanced compliance and rule hierarchy",,"Learn More","https://learn.microsoft.com/azure/firewall-manager/rule-hierarchy","False","3a63560a-1ed3-6140-acd1-d1d23f9a2e12","no","Leverage Azure Policy inheritance model","False","Governance","Microsoft.Network/azureFirewalls","Azure Firewall policy supports rule hierarchies for compliance enforcement, using a central base policy with higher priority over child policies, and employs Azure custom roles to safeguard base policy and manage access within subscriptions or groups.
","Medium",,"Verified","Active","none"
"Avoids SNAT exhaustion.",,"Learn More","https://learn.microsoft.com/en-us/azure/well-architected/service-guides/azure-firewall#recommendations","False","d2e4a38e-2307-4299-a217-4c0cebc9a7f6","no","Configure 2-4 PIPs for SNAT Port utilization","False","High Availability","Microsoft.Network/azureFirewalls","Configure a minimum of two to four public IP addresses per Azure Firewall to avoid SNAT exhaustion. Azure Firewall offers SNAT for all outbound traffic to public IPs, providing 2,496 SNAT ports for each additional PIP.
","Medium",,"Preview","Active","none"
"Improved CPU stress detection",,"Learn More","https://learn.microsoft.com/azure/well-architected/service-guides/azure-firewall#recommendations","False","8faace2d-a36e-425c-aa58-2ad99e3e0b7a","no","Monitor AZFW Latency Probes metric","False","Monitoring and Alerting","Microsoft.Network/azureFirewalls","Creating a metric to monitor latency probes over 20ms for periods longer than 30mins helps identify when firewall instance CPUs are stressed, potentially indicating issues.
","Medium",,"Preview","Active","none"
"Enhances speed & resiliency",,"Learn More","https://learn.microsoft.com/en-us/azure/expressroute/about-fastpath","False","f6a14b32-a727-4ace-b5fa-7b1c6bdff402","no","For better data path performance enable FastPath on ExpressRoute Direct and Gateway","False","Scalability","Microsoft.Network/connections","ExpressRoute gateways facilitate network traffic and route exchanges. FastPath enhances on-premises to virtual network data path performance by directing traffic straight to virtual machines, bypassing the gateway for improved resiliency through reduced gateway utilization.
","Medium",,"Verified","Active","none"
"Prevents accidental deletion of connections",,"Learn More","https://learn.microsoft.com/en-us/azure/azure-resource-manager/management/lock-resources?tabs=json","False","a5f3a4bd-4cf1-4196-a3cb-f5a0876198b2","no","Configure an Azure Resource Lock on connections to prevent accidental deletion","False","High Availability","Microsoft.Network/connections","Configure an Azure Resource lock for Gateway Connection resources to prevent accidental deletion and maintain connectivity between on-premises networks and Azure workloads.
","High",,"Verified","Active","none"
"Enhanced security & traffic insight",,"Learn More","https://learn.microsoft.com/en-us/azure/ddos-protection/monitor-ddos-protection-reference","False","ae054bf2-aefa-cf4a-8282-741194cef8da","no","Monitor Azure DDoS Protection Plan metrics","False","Security","Microsoft.Network/ddosProtectionPlans","Azure DDoS Plan metrics differentiate packets and bytes by tags: Dropped (packets scrubbed by DDoS), Forwarded (packets to VIP not filtered), and No tag (total packets, sum of dropped and forwarded).
","Medium",,"Preview","Active","none"
"Enhanced reliability & redundancy",,"Learn More","https://learn.microsoft.com/azure/expressroute/designing-for-disaster-recovery-with-expressroute-privatepeering","False","4d703025-dafc-f840-a183-5dc440456134","no","Connect on-prem networks to Azure critical workloads via multiple ExpressRoutes","False","High Availability","Microsoft.Network/expressRouteCircuits","Connecting each ExpressRoute Gateway to a minimum of two circuits in different peering locations enhances redundancy and reliability by ensuring alternate pathways for data in case one circuit fails.
","High",,"Verified","Active","none"
"Enhanced reliability & fault tolerance",,"Learn More","https://learn.microsoft.com/en-us/azure/expressroute/designing-for-high-availability-with-expressroute","False","0e19cc41-8274-1342-b0db-0e4146eacef8","no","Ensure ExpressRoute's physical links connect to distinct network edge devices","False","High Availability","Microsoft.Network/expressRouteCircuits","Microsoft or the ExpressRoute provider always ensures physical redundancy in their services. It's essential to maintain this level of physical redundancy (two devices, two links) from the ExpressRoute peering location to your network for optimal performance and reliability.
","High",,"Verified","Active","none"
"Improved high availability and load balancing",,"Learn More","https://learn.microsoft.com/azure/expressroute/designing-for-high-availability-with-expressroute#active-active-connections","False","f06a2bbe-5839-d447-9f39-fc3d20562d88","arg","Ensure both connections of an ExpressRoute circuit are configured in active-active mode","False","High Availability","Microsoft.Network/expressRouteCircuits","Operating both connections of an ExpressRoute circuit in active-active mode enhances high availability as the Microsoft network will load balance the traffic across the connections on a per-flow basis.
","High",,"Verified","Active","arg"
"Faster link failure detection",,"Learn More","https://learn.microsoft.com/azure/expressroute/expressroute-bfd","False","2a5bf650-586d-db4c-a292-d922be7d3e0e","no","Activate Bidirectional Forwarding Detection on edge devices for faster failover","False","High Availability","Microsoft.Network/expressRouteCircuits","Enabling BFD over ExpressRoute speeds up link failure detection between MSEE devices and routers configured for ExpressRoute (CE/PE), applicable over both customer and Partner Edge routing devices with managed Layer 3 service.
","High",,"Verified","Active","none"
"Enhanced network performance & health",,"Learn More","https://learn.microsoft.com/en-us/azure/expressroute/expressroute-network-insights","False","9771a435-d031-814e-9827-9b5fdafc0f87","no","Configure monitoring and alerting for ExpressRoute circuits","False","Monitoring and Alerting","Microsoft.Network/expressRouteCircuits","Use Network Insights for monitoring ExpressRoute circuit availability, QoS, and throughput. Set alerts based on Azure Monitor Baseline Alerts for availability, QoS metrics, and throughput metrics exceeding specific thresholds.
","Medium",,"Verified","Active","none"
"Stay informed on circuit updates",,"Learn More","https://learn.microsoft.com/azure/expressroute/maintenance-alerts","False","26cb547f-aabc-dc40-be02-d0a9b6b04b1a","no","Configure service health to receive ExpressRoute circuit maintenance notification","False","Monitoring and Alerting","Microsoft.Network/expressRouteCircuits","ExpressRoute leverages service health for notifications on both planned and unplanned maintenance, ensuring users are informed about any changes to their ExpressRoute circuits.
","Medium",,"Verified","Active","none"
"Ensures continuity & reliability",,"Learn More","https://learn.microsoft.com/azure/expressroute/use-s2s-vpn-as-backup-for-expressroute-privatepeering","False","f902cf86-2b53-2942-abc2-781f4fb62be6","no","Use a site-to-site VPN as an interim backup solution for a single ExpressRoute circuit","False","Disaster Recovery","Microsoft.Network/expressRouteCircuits","If you haven't added a second ExpressRoute circuit, use a site-to-site VPN as a temporary solution until the second circuit is available. This ensures network reliability and continuity of service.
","Medium",,"Verified","Active","none"
"Ensures optimal connectivity.",,"Learn More","https://learn.microsoft.com/en-us/azure/expressroute/expressroute-howto-erdirect#state","False","60077378-7cb1-4b35-89bb-393884d9921d","arg","The Admin State of both Links of an ExpressRoute Direct should be in Enabled state","False","High Availability","Microsoft.Network/ExpressRoutePorts","In Azure ExpressRoute Direct, the ""Admin State"" indicates the administrative status of layer 1 links, showing if a link is enabled or disabled, effectively turning the physical port on or off.
","High",,"Verified","Active","arg"
